ROI,tvalue,pvalue,fdr-pvalue
A8m_L,1.8831299520366391,0.06010073080534435,0.10713608534865732
A8m_R,2.6612918101417713,0.007964194347048899,0.03908267151029072
A8dl_L,2.4183405971764245,0.015847871718854156,0.051397610872425635
A8dl_R,2.685746228145239,0.00740980415056034,0.03720024124567028
A9l_L,2.575120562600372,0.010226465115284864,0.0441352704975452
A9l_R,2.2716041594703396,0.02341575063359656,0.06139632344153199
A6dl_L,3.7307075137502252,0.0002065494960983572,0.005542771583168712
A6dl_R,2.7055925166627657,0.006985654231430962,0.03580147793608368
A6m_L,2.76074702499951,0.005919251845647064,0.032658255896194116
A6m_R,1.8594010987850784,0.0633932959615734,0.10995674644512952
A9m_L,2.022531136867782,0.04350455362779481,0.08772229665932396
A9m_R,2.040998929532384,0.04162875329539423,0.08693003927462807
A10m_L,2.5238278571955384,0.011830537333148037,0.04636740937365959
A10m_R,1.6661373092355491,0.09613731658128201,0.14424808806566622
A9/46d_L,3.902314818625409,0.0001045580212166009,0.004429791142658379
A9/46d_R,3.1484610079337085,0.0017116660911901903,0.017361426637411477
IFJ_L,1.592809061122926,0.11165836157952003,0.161176063522003
IFJ_R,2.2566631592890163,0.024339407470286133,0.06272311132150543
A46_L,1.912216417346207,0.05625986208674335,0.10271275100567484
A46_R,2.4881165196409065,0.013075695346552226,0.04873668265533102
A9/46v_L,1.6742033026268563,0.09454121275905741,0.14356258233782793
A9/46v_R,1.202652624596829,0.22952092074825106,0.2754251048979013
A8vl_L,3.107674322318918,0.0019626323988054667,0.017361426637411477
A8vl_R,2.8590857605963405,0.004376126841075844,0.02801826483282601
A6vl_L,2.421698617634228,0.015703441744262706,0.051397610872425635
A6vl_R,2.8067878412363694,0.005144178220568439,0.0316366960564959
A10l_L,2.756420781669461,0.005997248998862123,0.032658255896194116
A10l_R,2.0973741313295617,0.03632166127771873,0.08030422508660424
A44d_L,2.5960153876413172,0.0096307101247606,0.04307553983074741
A44d_R,2.5486983124675064,0.011026771115941886,0.04578808140630482
IFS_L,1.6743466047793893,0.09451304964814053,0.14356258233782793
IFS_R,1.3711874325214723,0.1707597421956602,0.22108892936911795
A45c_L,1.9136297626044263,0.0560785711322205,0.10271275100567484
A45c_R,2.2334017957971644,0.025840413932563495,0.06553342090114041
A45r_L,1.4147775959287734,0.15758222504863834,0.2061980178827927
A45r_R,1.606676915437174,0.10858011939813501,0.15899231769012626
A44op_L,1.7296673976729826,0.08413434189733178,0.1351144644701404
A44op_R,2.6554295924155666,0.008102505069206612,0.03908267151029072
A44v_L,2.389602916791542,0.01713253695747521,0.051397610872425635
A44v_R,2.4481713672392353,0.014604892961102744,0.051397610872425635
A14m_L,2.760613100462577,0.005921652541927551,0.032658255896194116
A14m_R,1.9926649589041083,0.046689373940970336,0.09043768495652522
A12/47o_L,2.2230576633812835,0.02653326180455292,0.06583666839065994
A12/47o_R,0.66998758783423,0.5030885626011738,0.5334473551719343
A11l_L,1.797401877195317,0.07270645335997696,0.12084991571996169
A11l_R,0.6319587393733371,0.5276219568833924,0.5523191548651682
A11m_L,1.0007759133721796,0.31728396251888924,0.36303188269603137
A11m_R,1.90541519708311,0.05713911216018768,0.10335457052504536
A13_L,0.9849070883514276,0.3250129485735457,0.37015363587542705
A13_R,0.09347596153430557,0.9255524247814837,0.9255524247814837
A12/47l_L,0.29752055931992794,0.7661581506547583,0.7853121044211273
A12/47l_R,1.6659963931457964,0.09616539204377747,0.14424808806566622
A4hf_L,2.060005147591275,0.039770372092768264,0.08434061667949132
A4hf_R,3.0247258314557706,0.0025804626496132065,0.019837306618901523
A6cdl_L,2.3008157853282487,0.021697638004365867,0.058655153286527505
A6cdl_R,1.8043392278733976,0.07161156600655935,0.11983976352118096
A4ul_L,2.0720176611581627,0.0386325843273129,0.08343633754660089
A4ul_R,0.8748693508379586,0.38194766124164614,0.42134136621275764
A4t_L,2.5680555753072083,0.010435216998989909,0.04425971347847444
A4t_R,2.770376982842954,0.005748914668652964,0.032658255896194116
A4tl_L,1.5911241323237546,0.11203701976529476,0.161176063522003
A4tl_R,1.6177669751630865,0.10616720687823676,0.15639001731764218
A6cvl_L,1.1297935788308058,0.2589535463685326,0.3033455828888525
A6cvl_R,2.34632404071722,0.0192400002099162,0.05543343067021376
A1/2/3ll_L,1.688304113704958,0.0918021197434794,0.14293241428415146
A1/2/3ll_R,2.0330621011339494,0.042426328628869484,0.08693003927462807
A4ll_L,1.5553354184064576,0.12032209042814958,0.16913848140185597
A4ll_R,1.5956687543565464,0.111018012620576,0.161176063522003
A38m_L,2.4184524739275974,0.015843041060539416,0.051397610872425635
A38m_R,0.6959000661689045,0.486724388463185,0.5183298682335217
A41/42_L,0.7685472340948069,0.4424235854663866,0.47526725774991746
A41/42_R,1.3649425912087452,0.1727134277464977,0.22145648715347366
TE1.0/TE1.2_L,0.9787005894673726,0.328068977494259,0.3719122970672245
TE1.0/TE1.2_R,1.9463381980369618,0.052017336985798024,0.09843280691158703
A22c_L,1.7187417377644663,0.08610736915348503,0.1366604617563938
A22c_R,1.5601843540971878,0.11917219367569515,0.16913848140185597
A38l_L,2.954933538907379,0.0032332847152495244,0.02339376588092303
A38l_R,0.8196205008091516,0.41271386924545406,0.4492372205061137
A22r_L,2.497888226288538,0.012723931797433882,0.04815518803336515
A22r_R,2.4267133214610666,0.01548991737699422,0.051397610872425635
A21c_L,3.2291173017936288,0.0013002318238633304,0.017361426637411477
A21c_R,3.064423250597724,0.002265407126902527,0.017977101716710377
A21r_L,2.885315774087277,0.004031535997834531,0.027548829318535965
A21r_R,1.8544965182738733,0.06409214675615596,0.11025642029380675
A37dl_L,1.9396402074550447,0.05282829470132019,0.09920427859942571
A37dl_R,2.1752888707465123,0.029945319659587334,0.07138940876253996
aSTS_L,3.5046727563583975,0.0004865426186881803,0.009974123683107695
aSTS_R,2.859712855651202,0.004367585636130927,0.02801826483282601
A20iv_L,2.2708704953362346,0.02346038375408133,0.06139632344153199
A20iv_R,3.013295729795862,0.0026783508782652985,0.019965888365250407
A37elv_L,1.333266083143781,0.18288196672149995,0.23190187532726284
A37elv_R,1.0453829245203248,0.29620999415172644,0.342101683386501
A20r_L,2.1700683380511867,0.030340184164847968,0.07138940876253996
A20r_R,2.3417202816161815,0.019477018140036082,0.05543343067021376
